日期,收市
2020年3月31日,274
2020年3月30日,267.5
2020年3月27日,273
2020年3月26日,280
2020年3月25日,277
2020年3月24日,267.5
2020年3月23日,255
2020年3月20日,270
2020年3月19日,248
2020年3月18日,260
2020年3月17日,268
2020年3月16日,276.5
2020年3月13日,290
2020年3月12日,294
2020年3月11日,302
2020年3月10日,307
2020年3月9日,305.5
2020年3月6日,315
2020年3月5日,323
2020年3月4日,320.5
2020年3月3日,317.5
2020年3月2日,311
2020年2月27日,316
2020年2月26日,318.5
2020年2月25日,322
2020年2月24日,320
2020年2月21日,325
2020年2月20日,325.5
2020年2月19日,326.5
2020年2月18日,322
2020年2月17日,331.5
2020年2月14日,335
2020年2月13日,335
2020年2月12日,335
2020年2月11日,331.5
2020年2月10日,327.5
2020年2月7日,328
2020年2月6日,332.5
2020年2月5日,327.5
2020年2月4日,325
2020年2月3日,315
2020年1月31日,320
2020年1月30日,316.5
2020年1月20日,333
2020年1月17日,333
2020年1月16日,334.5
2020年1月15日,340
2020年1月14日,346
2020年1月13日,341.5
2020年1月10日,339.5
2020年1月9日,337.5
2020年1月8日,329.5
2020年1月7日,329.5
2020年1月6日,332
2020年1月3日,339.5
2020年1月2日,339
2019年12月31日,331
2019年12月30日,334.5
2019年12月27日,338
2019年12月26日,333
2019年12月25日,333
2019年12月24日,332
2019年12月23日,334
2019年12月20日,329
2019年12月19日,335
2019年12月18日,344.5
2019年12月17日,345
2019年12月16日,336
2019年12月13日,339
2019年12月12日,331.5
2019年12月11日,319
2019年12月10日,313.5
2019年12月9日,316
2019年12月6日,313
2019年12月5日,312
2019年12月4日,306
2019年12月3日,307
2019年12月2日,307.5
2019年11月29日,305
2019年11月28日,309.5
2019年11月27日,311
2019年11月26日,307
2019年11月25日,307
2019年11月22日,309
2019年11月21日,311
2019年11月20日,313.5
2019年11月19日,315
2019年11月18日,311
2019年11月15日,307
2019年11月14日,303.5
2019年11月13日,304
2019年11月12日,305
2019年11月11日,301
2019年11月8日,305.5
2019年11月7日,309
2019年11月6日,311
2019年11月5日,310.5
2019年11月4日,307
2019年11月1日,299
2019年10月31日,298.5
2019年10月30日,299.5
2019年10月29日,298.5
2019年10月28日,294.5
2019年10月25日,293.5
2019年10月24日,293
2019年10月23日,293
2019年10月22日,294
2019年10月21日,290
2019年10月18日,293
2019年10月17日,293.5
2019年10月16日,296.5
2019年10月15日,293.5
2019年10月14日,290
2019年10月9日,282
2019年10月8日,286.5
2019年10月7日,278
2019年10月4日,276.5
2019年10月3日,276.5
2019年10月2日,279.5
2019年10月1日,280
2019年9月27日,272
2019年9月26日,268
2019年9月25日,266
2019年9月24日,265
2019年9月23日,264
2019年9月20日,264
2019年9月19日,265
2019年9月18日,267
2019年9月17日,265
2019年9月16日,265.5
2019年9月12日,262.5
2019年9月11日,263
2019年9月10日,261.5
2019年9月9日,265
2019年9月6日,263.5
2019年9月5日,263
2019年9月4日,257.5
2019年9月3日,254
2019年9月2日,257.5
2019年8月30日,259
2019年8月29日,254
2019年8月28日,252
2019年8月27日,250
2019年8月26日,248.5
2019年8月23日,254
2019年8月22日,254
2019年8月21日,254.5
2019年8月20日,254.5
2019年8月19日,252
2019年8月16日,250
2019年8月15日,248
2019年8月14日,249.5
2019年8月13日,246.5
2019年8月12日,251
2019年8月8日,253.5
2019年8月7日,248
2019年8月6日,248.5
2019年8月5日,246.5
2019年8月2日,251.5
2019年8月1日,256.5
2019年7月31日,259.5
2019年7月30日,260
2019年7月29日,261
2019年7月26日,261
2019年7月25日,265
2019年7月24日,265
2019年7月23日,264
2019年7月22日,264
2019年7月19日,259
2019年7月18日,254
2019年7月17日,252
2019年7月16日,256
2019年7月15日,254.5
2019年7月12日,250.5
2019年7月11日,250
2019年7月10日,247
2019年7月9日,242
2019年7月8日,242.5
2019年7月5日,243
2019年7月4日,244
2019年7月3日,242.5
2019年7月2日,249
2019年7月1日,248.5
2019年6月28日,239
2019年6月27日,240.5
2019年6月26日,234.5
2019年6月25日,238.5
2019年6月24日,241
2019年6月21日,248.5
2019年6月20日,245
2019年6月19日,244
2019年6月18日,235.5
2019年6月17日,233
2019年6月14日,236
2019年6月13日,240
2019年6月12日,246
2019年6月11日,244.5
2019年6月10日,240
2019年6月6日,232
2019年6月5日,235
2019年6月4日,233
2019年6月3日,238
2019年5月31日,235.5
2019年5月30日,231
2019年5月29日,229.5
2019年5月28日,230.5
2019年5月27日,231
2019年5月24日,233
2019年5月23日,230
2019年5月22日,238
2019年5月21日,234
2019年5月20日,238
2019年5月17日,241.5
2019年5月16日,247
2019年5月15日,249
2019年5月14日,248.5
2019年5月13日,250.5
2019年5月10日,256
2019年5月9日,256.5
2019年5月8日,260
2019年5月7日,262.5
2019年5月6日,259
2019年5月3日,265
2019年5月2日,259
2019年4月30日,259
2019年4月29日,259.5
2019年4月26日,260
2019年4月25日,267.5
2019年4月24日,269
2019年4月23日,268
2019年4月22日,266
2019年4月19日,264.5
2019年4月18日,264.5
2019年4月17日,261.5
2019年4月16日,257
2019年4月15日,255.5
2019年4月12日,252
2019年4月11日,252
2019年4月10日,254
2019年4月9日,254
2019年4月8日,253
2019年4月3日,246.5
2019年4月2日,246
2019年4月1日,245.5
2019年3月29日,245.5
2019年3月28日,242
2019年3月27日,241.5
2019年3月26日,244
2019年3月25日,241.5
2019年3月22日,248.5
2019年3月21日,245.5
2019年3月20日,242
2019年3月19日,240.5
2019年3月18日,241
2019年3月15日,239
2019年3月14日,234.5
2019年3月13日,237
2019年3月12日,235.5
2019年3月11日,230.5
2019年3月8日,230
2019年3月7日,234
2019年3月6日,234
2019年3月5日,233
2019年3月4日,235.5
2019年2月27日,239
2019年2月26日,239.5
2019年2月25日,238
2019年2月22日,236.5
2019年2月21日,236.5
2019年2月20日,234.5
2019年2月19日,229
2019年2月18日,230
2019年2月15日,227
2019年2月14日,227
2019年2月13日,229
2019年2月12日,230
2019年2月11日,228
2019年1月30日,221
2019年1月29日,222.5
2019年1月28日,229
2019年1月25日,226
2019年1月24日,222.5
2019年1月23日,220.5
2019年1月22日,223
2019年1月21日,221
2019年1月18日,218.5
2019年1月17日,220.5
2019年1月16日,217.5
2019年1月15日,221
2019年1月14日,218.5
2019年1月11日,220.5
2019年1月10日,216
2019年1月9日,215.5
2019年1月8日,211
2019年1月7日,213
2019年1月4日,208
2019年1月3日,215.5
2019年1月2日,219.5
2018年12月28日,225.5
2018年12月27日,223
2018年12月26日,216.5
2018年12月25日,217.5
2018年12月24日,220
2018年12月22日,221.5
2018年12月21日,223.5
2018年12月20日,221
2018年12月19日,225.5
2018年12月18日,222.5
2018年12月17日,223.5
2018年12月14日,222.5
2018年12月13日,226
2018年12月12日,226.5
2018年12月11日,222.5
2018年12月10日,219
2018年12月7日,221
2018年12月6日,220
2018年12月5日,226
2018年12月4日,234
2018年12月3日,235
2018年11月30日,225.5
2018年11月29日,229
2018年11月28日,226.5
2018年11月27日,224
2018年11月26日,223
2018年11月23日,218.5
2018年11月22日,219
2018年11月21日,219
2018年11月20日,218
2018年11月19日,222
2018年11月16日,226
2018年11月15日,231
2018年11月14日,228.5
2018年11月13日,227.5
2018年11月12日,231.5
2018年11月9日,231
2018年11月8日,236.5
2018年11月7日,234
2018年11月6日,234.5
2018年11月5日,235
2018年11月2日,236.5
2018年11月1日,235.5
2018年10月31日,234
2018年10月30日,223
2018年10月29日,222.5
2018年10月26日,221
2018年10月25日,219.5
2018年10月24日,229.5
2018年10月23日,230
2018年10月22日,237
2018年10月19日,236
2018年10月18日,236.5
2018年10月17日,238.5
2018年10月16日,237
2018年10月15日,230.5
2018年10月12日,237
2018年10月11日,227.5
2018年10月9日,244
2018年10月8日,243.5
2018年10月5日,250
2018年10月4日,254
2018年10月3日,260
2018年10月2日,257.5
2018年10月1日,263
2018年9月28日,262.5
2018年9月27日,265
2018年9月26日,263.5
2018年9月25日,263.5
2018年9月21日,261.5
2018年9月20日,260
2018年9月19日,258
2018年9月18日,254.5
2018年9月17日,258
2018年9月14日,261
2018年9月13日,255
2018年9月12日,260.5
2018年9月11日,260
2018年9月10日,264.5
2018年9月7日,264
2018年9月6日,261
2018年9月5日,264
2018年9月4日,257.5
2018年9月3日,257
2018年8月31日,256
2018年8月30日,263.5
2018年8月29日,259
2018年8月28日,249.5
2018年8月27日,245
2018年8月24日,243.5
2018年8月23日,244.5
2018年8月22日,242
2018年8月21日,241
2018年8月20日,239.5
2018年8月17日,239.5
2018年8月16日,239
2018年8月15日,241.5
2018年8月14日,243.5
2018年8月13日,240.5
2018年8月10日,245
2018年8月9日,247
2018年8月8日,247.5
2018年8月7日,241.5
2018年8月6日,245.5
2018年8月3日,247
2018年8月2日,244.5
2018年8月1日,248
2018年7月31日,246
2018年7月30日,245.5
2018年7月27日,244.5
2018年7月26日,241
2018年7月25日,240.5
2018年7月24日,241
2018年7月23日,241
2018年7月20日,237.5
2018年7月19日,224.5
2018年7月18日,223
2018年7月17日,221.5
2018年7月16日,223.5
2018年7月13日,224.5
2018年7月12日,220.5
2018年7月11日,220
2018年7月10日,222
2018年7月9日,221.5
2018年7月6日,217
2018年7月5日,214.5
2018年7月4日,216
2018年7月3日,214.5
2018年7月2日,214
2018年6月29日,216.5
2018年6月28日,212
2018年6月27日,213
2018年6月26日,214.5
2018年6月25日,218
2018年6月22日,227.5
2018年6月21日,226.5
2018年6月20日,226
2018年6月19日,225
2018年6月15日,231
2018年6月14日,226.5
2018年6月13日,232
2018年6月12日,229
2018年6月11日,226
2018年6月8日,227
2018年6月7日,230
2018年6月6日,230
2018年6月5日,229
2018年6月4日,229
2018年6月1日,224
2018年5月31日,224
2018年5月30日,221
2018年5月29日,225
2018年5月28日,227
2018年5月25日,228.5
2018年5月24日,229
2018年5月23日,228.5
2018年5月22日,229
2018年5月21日,229
2018年5月18日,223.5
2018年5月17日,226.5
2018年5月16日,230.5
2018年5月15日,230.5
2018年5月14日,233
2018年5月11日,233
2018年5月10日,229.5
2018年5月9日,229.5
2018年5月8日,228
2018年5月7日,223.5
2018年5月4日,223
2018年5月3日,220.5
2018年5月2日,223
2018年4月30日,227
2018年4月27日,223.5
2018年4月26日,222
2018年4月25日,225
2018年4月24日,227
2018年4月23日,226.5
2018年4月20日,229
2018年4月19日,244.5
2018年4月18日,238
2018年4月17日,238
2018年4月16日,243.5
2018年4月13日,244.5
2018年4月12日,245
2018年4月11日,248
2018年4月10日,245.5
2018年4月9日,245
2018年4月3日,244
2018年4月2日,246.5
2018年3月31日,247.5
2018年3月30日,246
2018年3月29日,244
2018年3月28日,245
2018年3月27日,251
2018年3月26日,243.5
2018年3月23日,245
2018年3月22日,251.5
2018年3月21日,252.5
2018年3月20日,253
2018年3月19日,255
2018年3月16日,255
2018年3月15日,255
2018年3月14日,257
2018年3月13日,259
2018年3月12日,254
2018年3月9日,250.5
2018年3月8日,249.5
2018年3月7日,247
2018年3月6日,250
2018年3月5日,241.5
2018年3月2日,240
2018年3月1日,243
2018年2月27日,246
2018年2月26日,246.5
2018年2月23日,245
2018年2月22日,239.5
2018年2月21日,242.5
2018年2月12日,236.5
2018年2月9日,232.5
2018年2月8日,238.5
2018年2月7日,240
2018年2月6日,239
2018年2月5日,253
2018年2月2日,259.5
2018年2月1日,259.5
2018年1月31日,255
2018年1月30日,253
2018年1月29日,258.5
2018年1月26日,255
2018年1月25日,258
2018年1月24日,258
2018年1月23日,266
2018年1月22日,261.5
2018年1月19日,255.5
2018年1月18日,248.5
2018年1月17日,242
2018年1月16日,240.5
2018年1月15日,240
2018年1月12日,237
2018年1月11日,235
2018年1月10日,236.5
2018年1月9日,242
2018年1月8日,242
2018年1月5日,240
2018年1月4日,239.5
2018年1月3日,237
2018年1月2日,232.5
2017年12月29日,229.5
2017年12月28日,226
2017年12月27日,225
2017年12月26日,226
2017年12月25日,228.5
2017年12月22日,227.5
2017年12月21日,225
2017年12月20日,224.5
2017年12月19日,225
2017年12月18日,227
2017年12月15日,230
2017年12月14日,230.5
2017年12月13日,227
2017年12月12日,227.5
2017年12月11日,227.5
2017年12月8日,227
2017年12月7日,226.5
2017年12月6日,227
2017年12月5日,229.5
2017年12月4日,234
2017年12月1日,231
2017年11月30日,226
2017年11月29日,234.5
2017年11月28日,234
2017年11月27日,237
2017年11月24日,244
2017年11月23日,242.5
2017年11月22日,242
2017年11月21日,243
2017年11月20日,238.5
2017年11月17日,241.5
2017年11月16日,238
2017年11月15日,237.5
2017年11月14日,240
2017年11月13日,239.5
2017年11月10日,240.5
2017年11月9日,241
2017年11月8日,242.5
2017年11月7日,244
2017年11月6日,239.5
2017年11月3日,239
2017年11月2日,241
2017年11月1日,242.5
2017年10月31日,243
2017年10月30日,243
2017年10月27日,239
2017年10月26日,236
2017年10月25日,238
2017年10月24日,238
2017年10月23日,239
2017年10月20日,237.5
2017年10月19日,239
2017年10月18日,237.5
2017年10月17日,235.5
2017年10月16日,238
2017年10月13日,237.5
2017年10月12日,237.5
2017年10月11日,233
2017年10月6日,224.5
2017年10月5日,224.5
2017年10月3日,222.5
2017年10月2日,220.5
2017年9月30日,216.5
2017年9月29日,216.5
2017年9月28日,214
2017年9月27日,215
2017年9月26日,214
2017年9月25日,217
2017年9月22日,218.5
2017年9月21日,221
2017年9月20日,221.5
2017年9月19日,221.5
2017年9月18日,219.5
2017年9月15日,218.5
2017年9月14日,218.5
2017年9月13日,218
2017年9月12日,219
2017年9月11日,217
2017年9月8日,218
2017年9月7日,217
2017年9月6日,217
2017年9月5日,218
2017年9月4日,217.5
2017年9月1日,216.5
2017年8月31日,216.5
2017年8月30日,217.5
2017年8月29日,216
2017年8月28日,216
2017年8月25日,217.5
2017年8月24日,217
2017年8月23日,215.5
2017年8月22日,214.5
2017年8月21日,211.5
2017年8月18日,212.5
2017年8月17日,214
2017年8月16日,213
2017年8月15日,214
2017年8月14日,211
2017年8月11日,212.5
2017年8月10日,214
2017年8月9日,214.5
2017年8月8日,217.5
2017年8月7日,216
2017年8月4日,213
2017年8月3日,213.5
2017年8月2日,216
2017年8月1日,212
2017年7月31日,214.5
2017年7月28日,213
2017年7月27日,215.5
2017年7月26日,213
2017年7月25日,214
2017年7月24日,214.5
2017年7月21日,214
2017年7月20日,215.5
2017年7月19日,214.5
2017年7月18日,214
2017年7月17日,213
2017年7月14日,213
2017年7月13日,214.5
2017年7月12日,210.5
2017年7月11日,212
2017年7月10日,206
2017年7月7日,206
2017年7月6日,207.5
2017年7月5日,208.5
2017年7月4日,207
2017年7月3日,209
2017年6月30日,208.5
2017年6月29日,210
2017年6月28日,208.5
2017年6月27日,211.5
2017年6月26日,215
2017年6月23日,217
2017年6月22日,218
2017年6月21日,215.5
2017年6月20日,216.5
2017年6月19日,213
2017年6月16日,211.5
2017年6月15日,208
2017年6月14日,207
2017年6月13日,208
2017年6月12日,207.5
2017年6月9日,212
2017年6月8日,213
2017年6月7日,211.5
2017年6月6日,210.5
2017年6月5日,212
2017年6月3日,209
2017年6月2日,209
2017年6月1日,207
2017年5月31日,203
2017年5月26日,207
2017年5月25日,207
2017年5月24日,205.5
2017年5月23日,205
2017年5月22日,205
2017年5月19日,203
2017年5月18日,203.5
2017年5月17日,204
2017年5月16日,204.5
2017年5月15日,206
2017年5月12日,206
2017年5月11日,207.5
2017年5月10日,205.5
2017年5月9日,203.5
2017年5月8日,202.5
2017年5月5日,197.5
2017年5月4日,198
2017年5月3日,198
2017年5月2日,196.5
2017年5月1日,194.5
2017年4月28日,194.5
2017年4月27日,193
2017年4月26日,191
2017年4月25日,192
2017年4月24日,190
2017年4月21日,190
2017年4月20日,187
2017年4月19日,186.5
2017年4月18日,188
2017年4月17日,187.5
2017年4月14日,189
2017年4月13日,191.5
2017年4月12日,191
2017年4月11日,191
2017年4月10日,190
2017年4月7日,191
2017年4月6日,191.5
2017年4月5日,193
2017年3月31日,189
2017年3月30日,191.5
2017年3月29日,191.5
2017年3月28日,194.5
2017年3月27日,193
2017年3月24日,192.5
2017年3月23日,193.5
2017年3月22日,193.5
2017年3月21日,195
2017年3月20日,191.5
2017年3月17日,191.5
2017年3月16日,190
2017年3月15日,186.5
2017年3月14日,186
2017年3月13日,186.5
2017年3月10日,183.5
2017年3月9日,184.5
2017年3月8日,187
2017年3月7日,185.5
2017年3月6日,183.5
2017年3月3日,184
2017年3月2日,186
2017年3月1日,186
2017年2月24日,189
2017年2月23日,188.5
2017年2月22日,188.5
2017年2月21日,190
2017年2月20日,190
2017年2月18日,189.5
2017年2月17日,189.5
2017年2月16日,189
2017年2月15日,189
2017年2月14日,187.5
2017年2月13日,187.5
2017年2月10日,185.5
2017年2月9日,184
2017年2月8日,183.5
2017年2月7日,184.5
2017年2月6日,184.5
2017年2月3日,184.5
2017年2月2日,184.5
2017年1月24日,185.5
2017年1月23日,185
2017年1月20日,181
2017年1月19日,180.5
2017年1月18日,181
2017年1月17日,181
2017年1月16日,179.5
2017年1月13日,181.5
2017年1月12日,184.5
2017年1月11日,182
2017年1月10日,184
2017年1月9日,184
2017年1月6日,184
2017年1月5日,183.5
2017年1月4日,183
2017年1月3日,183
2016年12月30日,181.5
2016年12月29日,180
2016年12月28日,182
2016年12月27日,180
2016年12月26日,179.5
2016年12月23日,178.5
2016年12月22日,179
2016年12月21日,180
2016年12月20日,182.5
2016年12月19日,182.5
2016年12月16日,185
2016年12月15日,187
2016年12月14日,187.5
2016年12月13日,186
2016年12月12日,185
2016年12月9日,186
2016年12月8日,185.5
2016年12月7日,181.5
2016年12月6日,182
2016年12月5日,179
2016年12月2日,178
2016年12月1日,183
2016年11月30日,183
2016年11月29日,182
2016年11月28日,184
2016年11月25日,182
2016年11月24日,183
2016年11月23日,185.5
2016年11月22日,184
2016年11月21日,181
2016年11月18日,181
2016年11月17日,181.5
2016年11月16日,180
2016年11月15日,180
2016年11月14日,180.5
2016年11月11日,181.5
2016年11月10日,185.5
2016年11月9日,182
2016年11月8日,188.5
2016年11月7日,189
2016年11月4日,184.5
2016年11月3日,184.5
2016年11月2日,186
2016年11月1日,189.5
2016年10月31日,188.5
2016年10月28日,189.5
2016年10月27日,188.5
2016年10月26日,191.5
2016年10月25日,193
2016年10月24日,191
2016年10月21日,188.5
2016年10月20日,190.5
2016年10月19日,189.5
2016年10月18日,187
2016年10月17日,186.5
2016年10月14日,188
2016年10月13日,188.5
2016年10月12日,189.5
2016年10月11日,187.5
2016年10月7日,188
2016年10月6日,187.5
2016年10月5日,186
2016年10月4日,187
2016年10月3日,186
2016年9月30日,182.5
2016年9月29日,185.5
2016年9月26日,183
2016年9月23日,187.5
2016年9月22日,185.5
2016年9月21日,184
2016年9月20日,183
2016年9月19日,182.5
2016年9月14日,173.5
2016年9月13日,175
2016年9月12日,175
2016年9月10日,178
2016年9月9日,179.5
2016年9月8日,183
2016年9月7日,184
2016年9月6日,179
2016年9月5日,176.5
2016年9月2日,174.5
2016年9月1日,173.5
2016年8月31日,176
2016年8月30日,174.5
2016年8月29日,176.5
2016年8月26日,177
2016年8月25日,177
2016年8月24日,173.5
2016年8月23日,174
2016年8月22日,173
2016年8月19日,174.5
2016年8月18日,176
2016年8月17日,177
2016年8月16日,175.5
2016年8月15日,179
2016年8月12日,177.5
2016年8月11日,176.5
2016年8月10日,179.5
2016年8月9日,178.5
2016年8月8日,178
2016年8月5日,177
2016年8月4日,174.5
2016年8月3日,172.5
2016年8月2日,176
2016年8月1日,177
2016年7月29日,172.5
2016年7月28日,176.5
2016年7月27日,175
2016年7月26日,173
2016年7月25日,171.5
2016年7月22日,171
2016年7月21日,172
2016年7月20日,170
2016年7月19日,170.5
2016年7月18日,169.5
2016年7月15日,169.5
2016年7月14日,169
2016年7月13日,168.5
2016年7月12日,171
2016年7月11日,170
2016年7月7日,164.5
2016年7月6日,161.5
2016年7月5日,164
2016年7月4日,166
2016年7月1日,166
2016年6月30日,162.5
2016年6月29日,159
2016年6月28日,157
2016年6月27日,155.5
2016年6月24日,159
2016年6月23日,164
2016年6月22日,166
2016年6月21日,165.5
2016年6月20日,163
2016年6月17日,163
2016年6月16日,160.5
2016年6月15日,163
2016年6月14日,162
2016年6月13日,162
2016年6月8日,165.5
2016年6月7日,162
2016年6月6日,161
2016年6月4日,160
2016年6月3日,160.5
2016年6月2日,159
2016年6月1日,159
2016年5月31日,156.5
2016年5月30日,157
2016年5月27日,156.5
2016年5月26日,155
2016年5月25日,154.5
2016年5月24日,151
2016年5月23日,154
2016年5月20日,148.5
2016年5月19日,147
2016年5月18日,147
2016年5月17日,147
2016年5月16日,144.5
2016年5月13日,144
2016年5月12日,146
2016年5月11日,147
2016年5月10日,147
2016年5月9日,147.5
2016年5月6日,148
2016年5月5日,147.5
2016年5月4日,147
2016年5月3日,147.5
2016年4月29日,150
2016年4月28日,153
2016年4月27日,156.5
2016年4月26日,158
2016年4月25日,157.5
2016年4月22日,156.5
2016年4月21日,157
2016年4月20日,154
2016年4月19日,157.5
2016年4月18日,158
2016年4月15日,159.5
2016年4月14日,161.5
2016年4月13日,161.5
2016年4月12日,158.5
2016年4月11日,158.5
2016年4月8日,157.5
2016年4月7日,154.5
2016年4月6日,153.5
2016年4月1日,158.5
2016年3月31日,162
2016年3月30日,161.5
2016年3月29日,159
2016年3月28日,159
2016年3月25日,158
2016年3月24日,158.5
2016年3月23日,159.5
2016年3月22日,158.5
2016年3月21日,160
2016年3月18日,159.5
2016年3月17日,158.5
2016年3月16日,156
2016年3月15日,154.5
2016年3月14日,156
2016年3月11日,155
2016年3月10日,154.5
2016年3月9日,153
2016年3月8日,152
2016年3月7日,152
2016年3月4日,152.5
2016年3月3日,154
2016年3月2日,153
2016年3月1日,152
2016年2月26日,149
2016年2月25日,150.5
2016年2月24日,148
2016年2月23日,149.5
2016年2月22日,151
2016年2月19日,151
2016年2月18日,151
2016年2月17日,148
2016年2月16日,147.5
2016年2月15日,145
2016年2月3日,146
2016年2月2日,142.5
2016年2月1日,144
2016年1月30日,142
2016年1月29日,143
2016年1月28日,140
2016年1月27日,139.5
2016年1月26日,137.5
2016年1月25日,139.5
2016年1月22日,138.5
2016年1月21日,135
2016年1月20日,134.5
2016年1月19日,138
2016年1月18日,137
2016年1月15日,137
2016年1月14日,131.5
2016年1月13日,133.5
2016年1月12日,133
2016年1月11日,133
